Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
192.168.100.54,8.8.8.8,6,47330,53,222,3.071854
192.168.100.55,1.1.1.1,6,37068,53,522,7.199749
192.168.100.54,1.1.1.1,6,42712,53,522,7.165955
192.168.100.55,8.8.8.8,6,49596,53,522,7.153074
192.168.100.54,8.8.8.8,17,40826,53,74,0.001000
192.168.100.54,8.8.8.8,17,38494,53,74,0.001000
192.168.77.230,192.168.77.110,6,1233,80,60,0.001000
192.168.77.230,192.168.77.110,6,1234,80,60,0.001000
192.168.77.230,192.168.77.110,6,1235,80,60,0.001000
192.168.77.230,192.168.77.110,6,1236,80,60,0.001000
192.168.77.230,192.168.77.110,6,1237,80,60,0.001000
192.168.77.230,192.168.77.110,6,1238,80,60,0.001000
192.168.77.230,192.168.77.110,6,1239,80,60,0.001000
192.168.77.230,192.168.77.110,6,1240,80,60,0.001000
192.168.77.230,192.168.77.110,6,1241,80,60,0.001000
192.168.77.230,192.168.77.110,6,1242,80,60,0.001000
192.168.77.230,192.168.77.110,6,1243,80,60,0.001000
192.168.77.230,192.168.77.110,6,1244,80,60,0.001000
192.168.77.230,192.168.77.110,6,1245,80,60,0.001000
192.168.77.230,192.168.77.110,6,1246,80,60,0.001000
192.168.77.230,192.168.77.110,6,1247,80,60,0.001000
192.168.77.230,192.168.77.110,6,1248,80,60,0.001000
192.168.77.230,192.168.77.110,6,1249,80,60,0.001000
192.168.77.230,192.168.77.110,6,1250,80,60,0.001000
192.168.77.230,192.168.77.110,6,1251,80,60,0.001000
192.168.77.230,192.168.77.110,6,1252,80,60,0.001000
192.168.77.230,192.168.77.110,6,1253,80,60,0.001000
192.168.77.230,192.168.77.110,6,1254,80,60,0.001000
192.168.77.230,192.168.77.110,6,1255,80,60,0.001000
192.168.77.230,192.168.77.110,6,1256,80,60,0.001000
192.168.77.230,192.168.77.110,6,1257,80,60,0.001000
192.168.77.230,192.168.77.110,6,1258,80,60,0.001000
192.168.77.230,192.168.77.110,6,1259,80,60,0.001000
192.168.77.230,192.168.77.110,6,1260,80,60,0.001000
192.168.77.230,192.168.77.110,6,1261,80,60,0.001000
192.168.77.230,192.168.77.110,6,1262,80,60,0.001000
192.168.77.230,192.168.77.110,6,1263,80,60,0.001000
192.168.77.230,192.168.77.110,6,1264,80,60,0.001000
192.168.77.230,192.168.77.110,6,1265,80,60,0.001000
192.168.77.230,192.168.77.110,6,1266,80,60,0.001000
192.168.77.230,192.168.77.110,6,1267,80,60,0.001000
192.168.77.230,192.168.77.110,6,1268,80,60,0.001000
192.168.77.230,192.168.77.110,6,1269,80,60,0.001000
192.168.77.230,192.168.77.110,6,1270,80,60,0.001000
192.168.77.230,192.168.77.110,6,1271,80,60,0.001000
192.168.77.230,192.168.77.110,6,1272,80,60,0.001000
192.168.77.230,192.168.77.110,6,1273,80,60,0.001000
192.168.77.230,192.168.77.110,6,1274,80,60,0.001000
192.168.77.230,192.168.77.110,6,1275,80,60,0.001000
192.168.77.230,192.168.77.110,6,1276,80,60,0.001000
192.168.77.230,192.168.77.110,6,1277,80,60,0.001000
192.168.77.230,192.168.77.110,6,1278,80,60,0.001000
192.168.77.230,192.168.77.110,6,1279,80,60,0.001000
192.168.77.230,192.168.77.110,6,1280,80,60,0.001000
192.168.77.230,192.168.77.110,6,1281,80,60,0.001000
192.168.77.230,192.168.77.110,6,1282,80,60,0.001000
192.168.77.230,192.168.77.110,6,1283,80,60,0.001000
192.168.77.230,192.168.77.110,6,1284,80,60,0.001000
192.168.77.230,192.168.77.110,6,1285,80,60,0.001000
192.168.77.230,192.168.77.110,6,1286,80,60,0.001000
192.168.77.230,192.168.77.110,6,1287,80,60,0.001000
192.168.77.230,192.168.77.110,6,1288,80,60,0.001000
192.168.77.230,192.168.77.110,6,1289,80,60,0.001000
192.168.77.230,192.168.77.110,6,1290,80,60,0.001000
192.168.77.230,192.168.77.110,6,1291,80,60,0.001000
192.168.77.230,192.168.77.110,6,1292,80,60,0.001000
192.168.77.230,192.168.77.110,6,1293,80,60,0.001000
192.168.77.230,192.168.77.110,6,1294,80,60,0.001000
192.168.77.230,192.168.77.110,6,1295,80,60,0.001000
192.168.77.230,192.168.77.110,6,1296,80,60,0.001000
192.168.77.110,192.168.77.230,6,80,1234,348,31.606172
192.168.77.110,192.168.77.230,6,80,1236,348,31.606039
192.168.77.110,192.168.77.230,6,80,1238,348,31.605893
192.168.77.110,192.168.77.230,6,80,1240,348,31.605565
192.168.77.110,192.168.77.230,6,80,1242,174,3.061178
192.168.77.110,192.168.77.230,6,80,1244,174,3.061185
192.168.77.110,192.168.77.230,6,80,1246,58,0.001000
192.168.77.110,192.168.77.230,6,80,1248,58,0.001000
192.168.77.110,192.168.77.230,6,80,1250,58,0.001000
192.168.77.110,192.168.77.230,6,80,1252,58,0.001000
192.168.77.110,192.168.77.230,6,80,1254,58,0.001000
192.168.77.110,192.168.77.230,6,80,1256,58,0.001000
192.168.77.110,192.168.77.230,6,80,1233,348,32.014985
192.168.77.110,192.168.77.230,6,80,1235,348,32.014886
192.168.77.110,192.168.77.230,6,80,1237,348,32.014615
192.168.77.110,192.168.77.230,6,80,1239,348,32.014399
192.168.77.110,192.168.77.230,6,80,1241,174,3.085555
192.168.77.110,192.168.77.230,6,80,1243,174,3.085554
192.168.77.110,192.168.77.230,6,80,1245,58,0.001000
192.168.77.110,192.168.77.230,6,80,1247,58,0.001000
192.168.77.110,192.168.77.230,6,80,1249,58,0.001000
192.168.77.110,192.168.77.230,6,80,1251,58,0.001000
192.168.77.110,192.168.77.230,6,80,1253,58,0.001000
192.168.77.110,192.168.77.230,6,80,1255,58,0.001000
192.168.77.110,192.168.77.230,6,80,1257,58,0.001000
192.168.77.110,192.168.77.230,6,80,1259,58,0.001000
192.168.77.110,192.168.77.230,6,80,1261,58,0.001000
192.168.77.110,192.168.77.230,6,80,1263,58,0.001000
192.168.77.110,192.168.77.230,6,80,1265,58,0.001000
192.168.77.110,192.168.77.230,6,80,1267,58,0.001000
192.168.77.110,192.168.77.230,6,80,1269,58,0.001000
192.168.77.110,192.168.77.230,6,80,1271,58,0.001000
192.168.77.110,192.168.77.230,6,80,1273,58,0.001000
192.168.77.110,192.168.77.230,6,80,1275,58,0.001000
192.168.77.110,192.168.77.230,6,80,1277,58,0.001000
192.168.77.110,192.168.77.230,6,80,1279,58,0.001000
192.168.77.110,192.168.77.230,6,80,1281,58,0.001000
192.168.77.110,192.168.77.230,6,80,1283,58,0.001000
192.168.77.110,192.168.77.230,6,80,1285,58,0.001000
192.168.77.110,192.168.77.230,6,80,1287,58,0.001000
192.168.77.110,192.168.77.230,6,80,1289,58,0.001000
192.168.77.110,192.168.77.230,6,80,1291,58,0.001000
192.168.77.110,192.168.77.230,6,80,1293,58,0.001000
192.168.77.110,192.168.77.230,6,80,1295,58,0.001000
192.168.77.230,192.168.77.110,6,1297,80,60,0.001000
192.168.77.230,192.168.77.110,6,1298,80,60,0.001000
192.168.77.230,192.168.77.110,6,1299,80,60,0.001000
192.168.77.230,192.168.77.110,6,1300,80,60,0.001000
192.168.77.230,192.168.77.110,6,1301,80,60,0.001000
192.168.77.230,192.168.77.110,6,1302,80,60,0.001000
192.168.77.230,192.168.77.110,6,1303,80,60,0.001000
192.168.77.230,192.168.77.110,6,1304,80,60,0.001000
192.168.77.230,192.168.77.110,6,1305,80,60,0.001000
192.168.77.230,192.168.77.110,6,1306,80,60,0.001000
