Source,Destination,Protocol,SrcPort,DstPort,DataSize,Duration
192.168.1.11,192.168.1.1,1,1138,690,2390,4.32
192.168.1.6,192.168.1.4,1,12560,516,3008,3.15
192.168.1.14,192.168.1.19,17,30200,569,3266,4.0
192.168.1.1,192.168.1.3,1,10098,20,4801,0.99
192.168.1.16,192.168.1.19,6,52899,158,3450,4.08
192.168.1.13,192.168.1.9,17,59678,40,521,0.91
192.168.1.9,192.168.1.18,17,1923,623,3178,4.65
192.168.1.9,192.168.1.11,6,52229,737,2531,4.76
192.168.1.19,192.168.1.17,6,9044,782,1925,2.6
192.168.1.13,192.168.1.16,1,65315,166,4403,4.62
192.168.1.20,192.168.1.9,17,9841,431,2063,4.19
192.168.1.4,192.168.1.18,1,22066,873,1618,3.88
192.168.1.8,192.168.1.11,1,14708,1010,3652,4.9
192.168.1.5,192.168.1.19,6,9230,385,1616,2.1
192.168.1.7,192.168.1.9,17,53659,207,3829,4.73
192.168.1.17,192.168.1.19,1,48223,65,3121,3.88
192.168.1.18,192.168.1.12,6,46879,846,3092,0.36
192.168.1.14,192.168.1.12,6,3396,695,3680,1.71
192.168.1.18,192.168.1.5,1,28049,534,1872,1.45
192.168.1.10,192.168.1.9,17,12913,406,3905,4.99
192.168.1.7,192.168.1.15,1,4789,429,3015,3.39
192.168.1.3,192.168.1.8,17,14995,924,586,4.2
192.168.1.20,192.168.1.2,17,26389,695,4127,0.4
192.168.1.12,192.168.1.13,17,16832,657,484,4.63
192.168.1.12,192.168.1.5,6,58972,476,879,2.16
192.168.1.9,192.168.1.3,1,55935,566,1938,4.28
192.168.1.8,192.168.1.10,17,25010,569,2590,0.34
192.168.1.13,192.168.1.5,17,65407,832,4244,4.97
192.168.1.17,192.168.1.15,6,58851,739,4721,1.17
192.168.1.19,192.168.1.16,17,3931,612,2830,0.34
192.168.1.16,192.168.1.5,6,13222,689,3613,2.88
192.168.1.2,192.168.1.12,6,55766,990,2601,4.52
192.168.1.16,192.168.1.20,17,9431,437,1888,2.01
192.168.1.6,192.168.1.3,17,48167,227,4478,0.35
192.168.1.20,192.168.1.14,1,62411,689,4014,3.65
192.168.1.5,192.168.1.20,1,13204,442,4779,2.58
192.168.1.15,192.168.1.12,1,5332,599,4481,4.41
192.168.1.8,192.168.1.11,1,4384,821,4032,1.78
192.168.1.15,192.168.1.19,6,26768,934,2225,1.57
192.168.1.17,192.168.1.1,17,13673,305,4121,2.69
192.168.1.17,192.168.1.7,1,25609,601,2794,2.71
192.168.1.13,192.168.1.15,6,53811,163,4285,2.01
192.168.1.11,192.168.1.20,1,36662,1014,3774,3.4
192.168.1.16,192.168.1.4,17,16614,168,1300,2.21
192.168.1.20,192.168.1.3,6,48428,450,4015,0.78
192.168.1.15,192.168.1.8,17,39471,962,275,3.18
192.168.1.2,192.168.1.14,6,15603,892,1331,3.2
192.168.1.10,192.168.1.3,17,31751,25,1885,4.91
192.168.1.15,192.168.1.6,17,43919,844,4456,0.59
192.168.1.1,192.168.1.4,6,18585,837,2410,2.74
